candidate_id,rank,score,reasoning
CAND_0052682,19,0.6653,"NLP Engineer with 6.6 yrs experience; matched JD skills: FAISS, Python, Embeddings; has product company experience; 78 months in AI/ML roles; tier_1 institution (NIT Warangal); based in India (Vizag, Andhra Pradesh); active 81 days ago; high recruiter response rate (88%); notice period 30 days (ideal); strong GitHub activity (72/100); certifications: Google Cloud Professional ML Engineer."
CAND_0075574,20,0.6645,"Machine Learning Engineer with 5.7 yrs experience; matched JD skills: Weaviate, OpenSearch, Qdrant, Elasticsearch; has product company experience; 68 months in AI/ML roles; tier_1 institution (Carnegie Mellon University); based in preferred location (Bangalore, Karnataka); active 31 days ago; certifications: Deep Learning Specialization."
CAND_0011162,21,0.6641,"Recommendation Systems Engineer with 5.8 yrs experience; matched JD skills: FAISS, Milvus, OpenSearch, Pinecone; has product company experience; 68 months in AI/ML roles; tier_2 institution (PES University); based in India (Coimbatore, Tamil Nadu); active 38 days ago; high recruiter response rate (75%); notice period 90 days (long); certifications: Google Cloud Professional ML Engineer."
CAND_0020877,22,0.6634,"Applied ML Engineer with 5.1 yrs experience; matched JD skills: Elasticsearch, OpenSearch, Information Retrieval, Weaviate; has product company experience; 60 months in AI/ML roles; tier_1 institution (Stanford University); based in preferred location (Gurgaon, Haryana); active 75 days ago; high recruiter response rate (66%); strong GitHub activity (74/100)."
CAND_0042029,23,0.663,"Senior Data Scientist with 6.5 yrs experience; matched JD skills: NLP, Elasticsearch, Embeddings, OpenSearch; has product company experience; 78 months in AI/ML roles; tier_2 institution (PES University); based in preferred location (Delhi, Delhi); active 65 days ago; high recruiter response rate (67%); strong GitHub activity (79/100); certifications: LangChain for LLM Application Development."
CAND_0050454,24,0.662,"AI Engineer with 6.8 yrs experience; matched JD skills: FAISS, Qdrant, NLP; has product company experience; 81 months in AI/ML roles; tier_3 institution (Bharati Vidyapeeth); based in preferred location (Delhi, Delhi); active 51 days ago; high recruiter response rate (77%); notice period 30 days (ideal); no GitHub linked; certifications: AWS Certified Machine Learning Specialty."
CAND_0038368,25,0.6612,"ML Engineer with 5.4 yrs experience; matched JD skills: Embeddings, FAISS, NLP; has product company experience; 64 months in AI/ML roles; tier_1 institution (IIT Bombay); based in preferred location (Hyderabad, Telangana); active 89 days ago; high recruiter response rate (68%); notice period 30 days (ideal)."
CAND_0079387,26,0.6569,"AI Engineer with 6.9 yrs experience; matched JD skills: Python, OpenSearch; has product company experience; 81 months in AI/ML roles; tier_1 institution (IIIT Hyderabad); based in India (Trivandrum, Kerala); active 53 days ago; high recruiter response rate (81%); notice period 30 days (ideal); strong GitHub activity (64/100)."
CAND_0091909,27,0.6556,"Machine Learning Engineer with 6.9 yrs experience; matched JD skills: Pinecone, Qdrant, OpenSearch; has product company experience; 82 months in AI/ML roles; tier_1 institution (IIIT Bangalore); based in preferred location (Bangalore, Karnataka); inactive for 91 days (penalized); high recruiter response rate (65%); certifications: AWS Certified Machine Learning Specialty."
CAND_0018549,28,0.6522,"Recommendation Systems Engineer with 6.8 yrs experience; matched JD skills: Weaviate, Elasticsearch, Qdrant, Milvus; has product company experience; 81 months in AI/ML roles; tier_1 institution (Stanford University); based in India (Coimbatore, Tamil Nadu); active 50 days ago; high recruiter response rate (73%); strong GitHub activity (56/100); certifications: Google Cloud Professional ML Engineer."
CAND_0004402,29,0.6519,"AI Research Engineer with 6.0 yrs experience; matched JD skills: OpenSearch, Qdrant; has product company experience; 71 months in AI/ML roles; tier_1 institution (IIT Guwahati); based in preferred location (Delhi, Delhi); active in last 30 days; high recruiter response rate (83%); no GitHub linked."
CAND_0071974,30,0.6511,"Senior AI Engineer with 7.8 yrs experience; matched JD skills: Weaviate, Pinecone, Information Retrieval, Qdrant; has product company experience; 92 months in AI/ML roles; tier_1 institution (NIT Warangal); based in India (Vizag, Andhra Pradesh); active 62 days ago; high recruiter response rate (76%); strong GitHub activity (83/100); certifications: Google Cloud Professional ML Engineer, NLP Specialization."
CAND_0054123,31,0.6504,"Applied ML Engineer with 4.7 yrs experience; matched JD skills: Python, Weaviate, Qdrant; has product company experience; 55 months in AI/ML roles; tier_1 institution (Stanford University); based in preferred location (Gurgaon, Haryana); active 40 days ago; high recruiter response rate (87%); strong GitHub activity (72/100); certifications: NLP Specialization, Google Cloud Professional ML Engineer."
CAND_0086022,32,0.6504,"Senior Applied Scientist with 5.3 yrs experience; matched JD skills: Elasticsearch, Pinecone, Embeddings, NLP; has product company experience; 63 months in AI/ML roles; tier_1 institution (Stanford University); based in India (Kolkata, West Bengal); active 63 days ago; notice period 0 days (ideal); strong GitHub activity (75/100); certifications: LangChain for LLM Application Development, AWS Certified Machine Learning Specialty."
CAND_0077337,33,0.6496,"Staff Machine Learning Engineer with 7.0 yrs experience; matched JD skills: Pinecone, Information Retrieval, Qdrant, Python; has product company experience; 83 months in AI/ML roles; tier_1 institution (Georgia Tech); based in India (Kochi, Kerala); active in last 30 days; high recruiter response rate (95%); strong GitHub activity (68/100); certifications: Deep Learning Specialization, NLP Specialization."
CAND_0030784,34,0.6482,"Data Scientist with 4.4 yrs experience; matched JD skills: Embeddings, Pinecone, Python; has product company experience; 52 months in AI/ML roles; tier_1 institution (IIT Hyderabad); based in preferred location (Delhi, Delhi); active in last 30 days; high recruiter response rate (90%); notice period 90 days (long)."
CAND_0018094,35,0.6462,"ML Engineer with 5.2 yrs experience; matched JD skills: Pinecone, Information Retrieval; has product company experience; 62 months in AI/ML roles; tier_1 institution (IIT Kharagpur); based in preferred location (Bangalore, Karnataka); active 69 days ago; high recruiter response rate (69%)."
CAND_0005649,36,0.6452,"Senior Data Scientist with 7.4 yrs experience; matched JD skills: Weaviate, Information Retrieval; has product company experience; 88 months in AI/ML roles; tier_2 institution (RV College of Engineering); based in preferred location (Delhi, Delhi); active 64 days ago; notice period 90 days (long); strong GitHub activity (81/100)."
CAND_0042506,37,0.6445,"Search Engineer with 4.2 yrs experience; matched JD skills: Information Retrieval, Milvus, Qdrant, FAISS; has product company experience; 50 months in AI/ML roles; tier_3 institution (Amity University); based in preferred location (Mumbai, Maharashtra); active in last 30 days; notice period 15 days (ideal); strong GitHub activity (64/100); certifications: Deep Learning Specialization, LangChain for LLM Application Development."
CAND_0037566,38,0.6439,"Machine Learning Engineer with 6.9 yrs experience; matched JD skills: Pinecone, NLP, Elasticsearch; has product company experience; 82 months in AI/ML roles; tier_2 institution (Jadavpur University); based in preferred location (Bangalore, Karnataka); active 58 days ago; notice period 15 days (ideal); strong GitHub activity (73/100)."
CAND_0081053,39,0.6428,"NLP Engineer with 5.4 yrs experience; matched JD skills: Qdrant, Weaviate, OpenSearch; has product company experience; 64 months in AI/ML roles; tier_1 institution (IIT Madras); based in India (Chandigarh, Chandigarh); active 78 days ago; high recruiter response rate (83%); notice period 90 days (long); strong GitHub activity (78/100); certifications: AWS Certified Machine Learning Specialty, LangChain for LLM Application Development."
CAND_0051004,40,0.6422,"Senior Data Scientist with 4.7 yrs experience; matched JD skills: Embeddings, Qdrant; has product company experience; 56 months in AI/ML roles; tier_1 institution (IIT Kanpur); based in preferred location (Delhi, Delhi); active 43 days ago; notice period 15 days (ideal)."
CAND_0015528,41,0.641,"Applied ML Engineer with 7.4 yrs experience; matched JD skills: Weaviate, Information Retrieval, OpenSearch, FAISS; has product company experience; 87 months in AI/ML roles; tier_1 institution (IIIT Bangalore); based in India (Coimbatore, Tamil Nadu); active 62 days ago; notice period 30 days (ideal); strong GitHub activity (51/100)."
CAND_0037160,42,0.6405,"Data Scientist with 6.0 yrs experience; matched JD skills: Weaviate, Embeddings; has product company experience; 71 months in AI/ML roles; tier_1 institution (IIT Kanpur); based in preferred location (Mumbai, Maharashtra); active 81 days ago; high recruiter response rate (74%); notice period 30 days (ideal)."
CAND_0087630,43,0.6398,"AI Engineer with 7.2 yrs experience; matched JD skills: Elasticsearch, NLP, Embeddings, OpenSearch; has product company experience; 85 months in AI/ML roles; tier_2 institution (COEP Pune); based in preferred location (Gurgaon, Haryana); inactive for 93 days (penalized); notice period 30 days (ideal); certifications: Deep Learning Specialization, LangChain for LLM Application Development."
CAND_0088025,44,0.6386,"Staff Machine Learning Engineer with 8.6 yrs experience; matched JD skills: Pinecone, Elasticsearch, Python, NLP; has product company experience; 102 months in AI/ML roles; tier_2 institution (COEP Pune); based in India (Jaipur, Rajasthan); active 34 days ago; high recruiter response rate (83%); notice period 90 days (long); strong GitHub activity (75/100)."
CAND_0073007,45,0.6384,"AI Specialist with 5.8 yrs experience; matched JD skills: Milvus, Embeddings, FAISS; has product company experience; 69 months in AI/ML roles; tier_1 institution (IIIT Hyderabad); based in preferred location (Bangalore, Karnataka); active 41 days ago; high recruiter response rate (83%); strong GitHub activity (66/100)."
CAND_0080766,46,0.6368,"Staff Machine Learning Engineer with 8.8 yrs experience; matched JD skills: Information Retrieval Systems, Elasticsearch, OpenSearch, Python; has product company experience; 105 months in AI/ML roles; tier_2 institution (RV College of Engineering); based in India (Coimbatore, Tamil Nadu); active 69 days ago; high recruiter response rate (66%); notice period 0 days (ideal)."
CAND_0089947,47,0.6358,"Junior ML Engineer with 5.4 yrs experience; matched JD skills: Elasticsearch, Information Retrieval, Embeddings, OpenSearch; has product company experience; 64 months in AI/ML roles; tier_2 institution (Thapar University); based in preferred location (Noida, Uttar Pradesh); active in last 30 days; notice period 90 days (long); certifications: Google Cloud Professional ML Engineer."
CAND_0024878,48,0.6356,"AI Specialist with 5.7 yrs experience; matched JD skills: Elasticsearch, NLP, Information Retrieval; has product company experience; 68 months in AI/ML roles; tier_1 institution (NIT Trichy); based in India (Vizag, Andhra Pradesh); active in last 30 days; high recruiter response rate (84%); certifications: Google Cloud Professional ML Engineer."
CAND_0039838,49,0.6353,"Recommendation Systems Engineer with 4.9 yrs experience; matched JD skills: Embeddings, Milvus, OpenSearch; has product company experience; 58 months in AI/ML roles; tier_1 institution (Georgia Tech); based in India (Kochi, Kerala); active 57 days ago; high recruiter response rate (80%); notice period 90 days (long); certifications: Google Cloud Professional ML Engineer, Deep Learning Specialization."
CAND_0065786,50,0.6352,"AI Specialist with 4.9 yrs experience; matched JD skills: Pinecone, Qdrant; has product company experience; 58 months in AI/ML roles; tier_1 institution (BITS Pilani); based in India (Indore, Madhya Pradesh); active in last 30 days; high recruiter response rate (89%); strong GitHub activity (71/100)."
CAND_0003100,51,0.6327,"AI Specialist with 5.5 yrs experience; matched JD skills: Milvus, Weaviate; has product company experience; 66 months in AI/ML roles; tier_1 institution (IIIT Hyderabad); based in preferred location (Delhi, Delhi); active 87 days ago; high recruiter response rate (66%); notice period 90 days (long); certifications: Deep Learning Specialization."
CAND_0005477,52,0.6325,"ML Engineer with 6.2 yrs experience; matched JD skills: OpenSearch; has product company experience; 73 months in AI/ML roles; tier_1 institution (Stanford University); based in preferred location (Bangalore, Karnataka); active in last 30 days; no GitHub linked."
CAND_0039754,53,0.6319,"Senior Applied Scientist with 16.2 yrs experience; matched JD skills: Qdrant, NLP, OpenSearch, Weaviate; has product company experience; 98 months in AI/ML roles; tier_1 institution (IIT Hyderabad); based in India (Indore, Madhya Pradesh); active 34 days ago; high recruiter response rate (81%); notice period 30 days (ideal); strong GitHub activity (78/100)."
CAND_0082086,54,0.6318,"Senior Software Engineer (ML) with 6.0 yrs experience; matched JD skills: FAISS, Pinecone, Milvus; has product company experience; 71 months in AI/ML roles; tier_2 institution (SRM University); based in preferred location (Delhi, Delhi); active 34 days ago; high recruiter response rate (85%); strong GitHub activity (83/100)."
CAND_0064904,55,0.6309,"AI Engineer with 4.9 yrs experience; matched JD skills: Embeddings, Elasticsearch, Python, Weaviate; has product company experience; 58 months in AI/ML roles; tier_2 institution (RV College of Engineering); based in preferred location (Hyderabad, Telangana); inactive for 92 days (penalized); high recruiter response rate (78%); notice period 90 days (long); strong GitHub activity (59/100)."
CAND_0036184,56,0.6301,"Recommendation Systems Engineer with 6.0 yrs experience; matched JD skills: FAISS, Embeddings, Pinecone; has product company experience; 71 months in AI/ML roles; tier_2 institution (VJTI Mumbai); based in India (Trivandrum, Kerala); active in last 30 days; high recruiter response rate (90%); notice period 30 days (ideal)."
CAND_0057563,57,0.63,"NLP Engineer with 6.8 yrs experience; matched JD skills: Elasticsearch, OpenSearch; has product company experience; 80 months in AI/ML roles; tier_1 institution (BITS Pilani); based in India (Indore, Madhya Pradesh); active 57 days ago; high recruiter response rate (83%); certifications: Google Cloud Professional ML Engineer."
CAND_0094759,58,0.63,"Lead AI Engineer with 8.6 yrs experience; matched JD skills: Qdrant, NLP, FAISS, Weaviate; has product company experience; 101 months in AI/ML roles; tier_2 institution (Manipal Institute of Technology); based in preferred location (Mumbai, Maharashtra); inactive for 160 days (penalized); low recruiter response rate (11%); notice period 30 days (ideal); strong GitHub activity (76/100)."
CAND_0098780,59,0.6294,"AI Research Engineer with 5.9 yrs experience; matched JD skills: Milvus, Weaviate, Pinecone; has product company experience; 70 months in AI/ML roles; tier_1 institution (NIT Surathkal); based in preferred location (Bangalore, Karnataka); active 60 days ago; no GitHub linked."
CAND_0046353,60,0.629,"ML Engineer with 6.4 yrs experience; matched JD skills: FAISS, Qdrant, NLP, Weaviate; has product company experience; 51 months in AI/ML roles; tier_1 institution (UC Berkeley); based in preferred location (Gurgaon, Haryana); active 59 days ago; high recruiter response rate (73%); notice period 120 days (long); strong GitHub activity (77/100); certifications: NLP Specialization."
CAND_0096104,61,0.6286,"AI Specialist with 7.0 yrs experience; matched JD skills: Pinecone; has product company experience; 83 months in AI/ML roles; tier_1 institution (Stanford University); based in preferred location (Delhi, Delhi); active 41 days ago; notice period 30 days (ideal); strong GitHub activity (72/100)."
CAND_0027801,62,0.6284,"NLP Engineer with 7.4 yrs experience; matched JD skills: FAISS, Milvus, OpenSearch; has product company experience; 87 months in AI/ML roles; tier_2 institution (Manipal Institute of Technology); based in preferred location (Hyderabad, Telangana); active 66 days ago; high recruiter response rate (65%); notice period 120 days (long); strong GitHub activity (63/100); certifications: NLP Specialization, Google Cloud Professional ML Engineer."
CAND_0048558,63,0.6277,"Data Scientist with 6.7 yrs experience; matched JD skills: Information Retrieval, OpenSearch, Qdrant, Elasticsearch; has product company experience; 79 months in AI/ML roles; tier_2 institution (VIT Vellore); based in preferred location (Noida, Uttar Pradesh); active in last 30 days; high recruiter response rate (80%); notice period 30 days (ideal); no GitHub linked."
CAND_0030946,64,0.6275,"Junior ML Engineer with 6.7 yrs experience; matched JD skills: Elasticsearch, OpenSearch, Embeddings; has product company experience; 79 months in AI/ML roles; tier_1 institution (IIIT Hyderabad); based in preferred location (Mumbai, Maharashtra); active 59 days ago."
CAND_0089546,65,0.6272,"Machine Learning Engineer with 4.8 yrs experience; matched JD skills: NLP, Qdrant; has product company experience; 57 months in AI/ML roles; tier_1 institution (IIT Roorkee); based in preferred location (Bangalore, Karnataka); active 74 days ago; high recruiter response rate (64%); notice period 90 days (long); certifications: LangChain for LLM Application Development, Google Cloud Professional ML Engineer."
CAND_0067643,66,0.6271,"AI Research Engineer with 6.0 yrs experience; matched JD skills: Elasticsearch, Qdrant, NLP; has product company experience; 71 months in AI/ML roles; tier_1 institution (BITS Pilani); based in India (Chennai, Tamil Nadu); active 89 days ago; strong GitHub activity (73/100); certifications: AWS Certified Machine Learning Specialty."
CAND_0091899,67,0.6269,"Senior Software Engineer (ML) with 5.8 yrs experience; matched JD skills: FAISS, NLP, Milvus, Information Retrieval; has product company experience; 69 months in AI/ML roles; tier_2 institution (Delhi College of Engineering); based in preferred location (Delhi, Delhi); active 79 days ago; no GitHub linked."
CAND_0093193,68,0.6266,"Senior Machine Learning Engineer with 7.9 yrs experience; matched JD skills: Ranking Systems, Qdrant, OpenSearch, Information Retrieval Systems; has product company experience; 94 months in AI/ML roles; tier_2 institution (Jadavpur University); based in preferred location (Bangalore, Karnataka); active 60 days ago; high recruiter response rate (61%)."
CAND_0077285,69,0.6264,"Recommendation Systems Engineer with 5.5 yrs experience; matched JD skills: Pinecone, Embeddings, Information Retrieval, Milvus; has product company experience; 65 months in AI/ML roles; tier_2 institution (PES University); based in India (Ahmedabad, Gujarat); active 45 days ago; strong GitHub activity (76/100); certifications: LangChain for LLM Application Development, NLP Specialization."
CAND_0095528,70,0.6262,"Senior Data Scientist with 5.3 yrs experience; matched JD skills: OpenSearch, Qdrant, Elasticsearch, Python; has product company experience; 63 months in AI/ML roles; tier_1 institution (IIIT Bangalore); based in India (Indore, Madhya Pradesh); active 45 days ago; no GitHub linked."
CAND_0093912,71,0.626,"Senior Data Scientist with 5.3 yrs experience; matched JD skills: Milvus, Embeddings, Elasticsearch; has product company experience; 62 months in AI/ML roles; tier_2 institution (RV College of Engineering); based in India (Chandigarh, Chandigarh); active 37 days ago; high recruiter response rate (66%); notice period 30 days (ideal); strong GitHub activity (82/100)."
CAND_0095213,72,0.626,"ML Engineer with 5.1 yrs experience; matched JD skills: Python, Weaviate, Pinecone, Milvus; has product company experience; 60 months in AI/ML roles; tier_2 institution (SRM University); based in preferred location (Gurgaon, Haryana); active 83 days ago; high recruiter response rate (67%)."
CAND_0081852,73,0.6258,"Senior Data Scientist with 5.9 yrs experience; matched JD skills: Milvus, Weaviate; has product company experience; 70 months in AI/ML roles; tier_3 institution (SRM Chennai); based in preferred location (Delhi, Delhi); active in last 30 days; strong GitHub activity (88/100); certifications: LangChain for LLM Application Development, Deep Learning Specialization."
CAND_0082489,74,0.6257,"ML Engineer with 5.3 yrs experience; matched JD skills: Weaviate; has product company experience; 63 months in AI/ML roles; tier_3 institution (Lovely Professional University); based in preferred location (Noida, Uttar Pradesh); inactive for 116 days (penalized); high recruiter response rate (71%); notice period 90 days (long); strong GitHub activity (75/100)."
CAND_0090584,75,0.6255,"ML Engineer with 5.1 yrs experience; matched JD skills: OpenSearch, FAISS, Embeddings; has product company experience; 60 months in AI/ML roles; tier_1 institution (IIT Roorkee); based in preferred location (Pune, Maharashtra); inactive for 110 days (penalized); high recruiter response rate (64%); notice period 120 days (long); strong GitHub activity (83/100)."
CAND_0007412,76,0.6248,"Applied ML Engineer with 7.4 yrs experience; matched JD skills: Pinecone, Milvus; has product company experience; 87 months in AI/ML roles; tier_1 institution (IIT Hyderabad); based in preferred location (Noida, Uttar Pradesh); active 59 days ago; high recruiter response rate (76%); notice period 120 days (long)."
CAND_0010257,77,0.6242,"Senior Data Scientist with 6.5 yrs experience; matched JD skills: Milvus, Python, OpenSearch, Qdrant; has product company experience; 77 months in AI/ML roles; tier_2 institution (COEP Pune); based in preferred location (Noida, Uttar Pradesh); active 35 days ago; high recruiter response rate (72%); notice period 120 days (long); certifications: Google Cloud Professional ML Engineer."
CAND_0039383,78,0.6242,"Applied ML Engineer with 7.1 yrs experience; matched JD skills: FAISS, NLP, Elasticsearch; has product company experience; 84 months in AI/ML roles; tier_1 institution (IISc Bangalore); based in preferred location (Gurgaon, Haryana); active 90 days ago; high recruiter response rate (61%); notice period 90 days (long); strong GitHub activity (86/100); certifications: Google Cloud Professional ML Engineer, Deep Learning Specialization."
CAND_0046064,79,0.624,"Senior NLP Engineer with 8.9 yrs experience; matched JD skills: Python, Pinecone, OpenSearch, Elasticsearch; has product company experience; 106 months in AI/ML roles; tier_1 institution (IIT Hyderabad); based in India (Coimbatore, Tamil Nadu); active 52 days ago; high recruiter response rate (78%); notice period 30 days (ideal); strong GitHub activity (67/100)."
CAND_0096142,80,0.6236,"Applied ML Engineer with 5.0 yrs experience; matched JD skills: Weaviate, Pinecone, Python, NLP; has product company experience; 60 months in AI/ML roles; tier_1 institution (IIIT Bangalore); based in preferred location (Hyderabad, Telangana); active in last 30 days; high recruiter response rate (84%); notice period 120 days (long); strong GitHub activity (80/100); certifications: AWS Certified Machine Learning Specialty."
CAND_0072660,81,0.6234,"Machine Learning Engineer with 7.1 yrs experience; matched JD skills: Information Retrieval, OpenSearch, FAISS, Elasticsearch; has product company experience; 84 months in AI/ML roles; tier_2 institution (SRM University); outside preferred region (Berlin); active in last 30 days; notice period 30 days (ideal); no GitHub linked."
CAND_0032311,82,0.6233,"Cloud Engineer with 6.4 yrs experience; matched JD skills: Milvus; has product company experience; 76 months in AI/ML roles; tier_2 institution (SRM University); based in preferred location (Hyderabad, Telangana); inactive for 113 days (penalized); high recruiter response rate (84%); notice period 30 days (ideal)."
CAND_0073982,83,0.6231,"Data Scientist with 7.0 yrs experience; matched JD skills: Qdrant, FAISS, Elasticsearch; has product company experience; 83 months in AI/ML roles; tier_2 institution (Delhi College of Engineering); based in preferred location (Delhi, Delhi); active 32 days ago; high recruiter response rate (65%)."
CAND_0043637,84,0.6228,"Junior ML Engineer with 5.5 yrs experience; matched JD skills: Milvus; has product company experience; 65 months in AI/ML roles; tier_3 institution (Chandigarh University); based in preferred location (Delhi, Delhi); active in last 30 days; high recruiter response rate (92%); no GitHub linked; certifications: Deep Learning Specialization."
CAND_0098288,85,0.6226,"Junior ML Engineer with 6.7 yrs experience; matched JD skills: Information Retrieval, NLP, Python; has product company experience; 80 months in AI/ML roles; tier_1 institution (IIT Roorkee); based in preferred location (Mumbai, Maharashtra); inactive for 118 days (penalized)."
CAND_0020991,86,0.6225,"Junior ML Engineer with 4.9 yrs experience; matched JD skills: Python, Weaviate, OpenSearch; has product company experience; 58 months in AI/ML roles; tier_3 institution (Christ University); based in India (Vizag, Andhra Pradesh); active in last 30 days; high recruiter response rate (88%); notice period 120 days (long); strong GitHub activity (65/100)."
CAND_0092568,87,0.6223,"AI Specialist with 5.7 yrs experience; matched JD skills: Milvus, Python, Pinecone; has product company experience; 68 months in AI/ML roles; tier_1 institution (IIT Kharagpur); based in preferred location (Noida, Uttar Pradesh); active 89 days ago; certifications: AWS Certified Machine Learning Specialty."
